t t ref_freq ref_freq electric_frequency electric_frequency hall_freq hall_freq isA isA isB isB isC isC isD isD isQ isQ VsD VsD VsQ VsQ Vs Vs Vs_cita Vs_cita Vs_cita_relative Vs_cita_relative psisD psisD psisQ psisQ psis psis psis_alpha psis_alpha psis_ref psis_ref te te Ud Ud pi_control pi_control pi_max pi_max
t 16777216.00 ref_freq 0.00 electric_frequency 0.28 hall_freq 0.00 isA -5.88 isB -6.11 isC 11.99 isD -5.88 isQ -10.45 VsD -0.80 VsQ -1.50 Vs 1.66 Vs_cita 240.70 Vs_cita_relative 240.70 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.08 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.26 hall_freq 0.00 isA -6.09 isB -6.08 isC 12.17 isD -6.09 isQ -10.53 VsD -0.87 VsQ -1.55 Vs 1.64 Vs_cita 241.91 Vs_cita_relative 241.91 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.07 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 25.00 hall_freq 0.00 isA -5.99 isB -6.04 isC 12.03 isD -5.99 isQ -10.43 VsD -0.85 VsQ -1.54 Vs 1.61 Vs_cita 240.65 Vs_cita_relative 240.65 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.04 Ud 4.09 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.03 hall_freq 0.00 isA -5.95 isB -5.91 isC 11.86 isD -5.95 isQ -10.26 VsD -0.81 VsQ -1.44 Vs 1.65 Vs_cita 240.55 Vs_cita_relative 240.55 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.14 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.01 hall_freq 0.00 isA -5.99 isB -5.92 isC 11.91 isD -5.99 isQ -10.29 VsD -0.81 VsQ -1.44 Vs 1.64 Vs_cita 240.55 Vs_cita_relative 240.55 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.13 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.33 hall_freq 0.00 isA -5.89 isB -6.12 isC 12.01 isD -5.89 isQ -10.47 VsD -0.81 VsQ 25.00 Vs 25.00 Vs_cita 240.57 Vs_cita_relative 240.57 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te 25.00 Ud 4.07 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.26 hall_freq 0.00 isA -6.04 isB -6.01 isC 12.05 isD -6.04 isQ -10.43 VsD -0.84 VsQ -1.50 Vs 1.64 Vs_cita 241.86 Vs_cita_relative 241.86 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.11 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.39 hall_freq 0.00 isA -5.89 isB -6.19 isC 12.08 isD -5.89 isQ -10.55 VsD -0.84 VsQ -1.58 Vs 1.58 Vs_cita 240.72 Vs_cita_relative 240.72 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.05 Ud 4.03 pi_control -0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency -0.06 hall_freq 0.00 isA -6.16 isB -6.07 isC 12.23 isD -6.16 isQ -10.56 VsD -0.90 VsQ -1.59 Vs 1.64 Vs_cita 240.87 Vs_cita_relative 240.87 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.02 pi_control 0.00 pi_max 0.01
t 16777216.00 ref_freq 0.00 electric_frequency 0.00 hall_freq 0.00 isA -5.91 isB -5.81 isC 11.72 isD -5.91 isQ -10.12 VsD -0.78 VsQ -1.39 Vs 1.66 Vs_cita 240.36 Vs_cita_relative 240.36 psisD 0.01 psisQ 25.00 psis 0.01 psis_alpha 58.50 psis_ref 25.00000 te -0.03 Ud 4.06 pi_control -0.00 pi_max 0.01
